date_of_data,install_zip_code,total_2008,total_2009,total_2010,total_2011,total_2012,total_2013,total_2014,total_overall,data_source,incentive_program,about_the_program
2014-07-16,92126,,,,,,588,,588,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92127,,,,1225,1634,1046,,3905,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92128,,,,,,505,,505,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92129,,,,,,1546,,1546,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92131,,,,,626,4941,,5567,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92502,,,,,2072,,,2072,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92543,,,,,28769,,,28769,Metropolitan Water District and Eastern Municipal Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92545,,,,,11306,12655,,23961,Metropolitan Water District and Eastern Municipal Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92551,,,,,,,3332,3332,Eastern Municipal Water District and Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92553,,,,,32881,2629,,35510,Eastern Municipal Water District and Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92555,,,,,39462,9366,,48828,Metropolitan Water District and Eastern Municipal Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92557,,,,,32554,24197,,56751,Metropolitan Water District and Eastern Municipal Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92563,,,,,18422,15253,,33675,Metropolitan Water District and Eastern Municipal Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92567,,,,,,252,,252,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92571,,,,,5625,7724,,13349,Metropolitan Water District and Eastern Municipal Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92582,,,,,620,789,,1409,Metropolitan Water District and Eastern Municipal Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92583,,,,,360,1034,,1394,Metropolitan Water District and Eastern Municipal Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92584,,,,,10162,37396,14140,61698,Metropolitan Water District and Eastern Municipal Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92585,,,,,6624,1144,,7768,Eastern Municipal Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92586,,,,,44183,27720,,71903,Metropolitan Water District and Eastern Municipal Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92591,,,,,,1064,,1064,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92592,,,,,1777,,1370,3147,Western Municipal Water District and Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92596,,,,,20394,,,20394,Eastern Municipal Water District and Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92602,,,,,300,,848,1148,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92603,,,,,,1328,,1328,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92604,,,,,,,936,936,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92610,,,,,,1018,,1018,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92612,,,,,568,,,568,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92614,,,,,850,224,,1074,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92617,,,,,,1219,481,1700,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92620,,,,,1964,306,5871,8141,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92624,,,,6098,2542,,,8640,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92625,,,,1230,480,,,1710,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92626,,,,,600,,2475,3075,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92627,,,,1130,500,,,1630,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92629,,,,1216,3000,1387,3359,8962,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92630,,,,,15692,1586,5348,22626,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92646,,,,7016,9518,1798,1895,20227,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92647,,,,3793,3950,,1709,9452,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92648,,,,740,2395,129,1508,4772,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92649,,,,2494,6478,,1090,10062,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92651,,,,1237,465,889,2717,5308,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92653,,,,,,8012,,8012,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92656,,,,,1070,,,1070,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92660,,,,,2200,,,2200,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92672,,,,6620,1126,,8467,16213,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92673,,,,9670,10000,1442,3801,24913,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92675,,,,2844,20525,1704,405,25478,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92677,,,,2312,2733,1738,720,7503,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92679,,,,,272,2044,7983,10299,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92688,,,,625,,,,625,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92691,,,,800,800,2788,1376,5764,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92692,,,,700,,,3038,3738,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92801,,,,600,,5100,,5700,Anaheim Public Utilities,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92802,,,,,,,17458,17458,Anaheim Public Utilities,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92804,,532,2092,,,3281,1462,7367,Anaheim Public Utilities,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92805,,,2475,400,,4200,3368,10443,Anaheim Public Utilities,Standard,"metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92806,,1039,1502,,,5484,3879,11904,Anaheim Public Utilities,Standard,"metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92807,,5381,6006,3122,700,,5468,20677,Anaheim Public Utilities,Standard,"metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92808,,1553,1480,,,,244,3277,Anaheim Public Utilities,Standard,"metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92840,,,,,2399,,,2399,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92841,,,,,4000,,,4000,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92843,,,,2302,,,,2302,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92844,,,,,,,1656,1656,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92845,,,,,,,463,463,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92861,,,,,,2971,,2971,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92866,,,,,4682,,1434,6116,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92867,,,,2389,7235,,886,10510,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92869,,,,222,1099,,,1321,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92870,,,,3048,7766,,3563,14377,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92879,,,,,,,1479,1479,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92880,,,,,,,1000,1000,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92881,,,,,,,4708,4708,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92882,,,,,,,239,239,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92886,,,,1088,,,,1088,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,92890,,,,,1600,,,1600,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,93021,,,,,,1144,,1144,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,93030,,,,,,7348,,7348,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,93035,,,,,,3887,,3887,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,93036,,,,,,1009,504,1513,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,93063,,,,1050,8757,5076,,14883,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
2014-07-16,93065,,,,1919,8148,2110,,12177,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners cash for grass"" -- money for actual removal of lawns."""
